
A&E,https://i.ibb.co/60TxrS6T/ae.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a031/index.m3u8
AMC,https://i.ibb.co/kkf3pWT/amc.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a054/index.m3u8
ATRES SERIES,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a048/index.m3u8
ATV I(PERU) ,https://i.ibb.co/fzBcZnbT/atv.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0ck/index.m3u8
ATV+ (PERU),https://i.ibb.co/fzBcZnbT/atv.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0cl/index.m3u8
AXN ,https://i.ibb.co/MxPgzRxb/axn.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a034/index.m3u8
AZ Corazones ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0uk/index.m3u8
Adult Swim ,https://i.ibb.co/39d5PLhG/adult-swim-2x.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04c/index.m3u8
America TV(PERU)  ,https://i.ibb.co/qMxL1LVP/americatv.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0aw/index.m3u8
America TV (PERU),https://i.ibb.co/qMxL1LVP/americatv.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0uz/index.m3u8
Animal Planet ,https://i.ibb.co/LDr03Vmz/animal.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05g/index.m3u8
Antena 3,https://i.ibb.co/3YzbrYky/antena3int.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0zt/index.m3u8
BABY TV ENCODER ,https://i.ibb.co/Df61wcmL/babytv.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0uq/index.m3u8
Bethel TV,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0cj/index.m3u8
CNN Español ENCODER ,https://i.ibb.co/mVFdm447/cnn.png,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0un/index.m3u8
Canal 13 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a061/index.m3u8
Canal N ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0da/index.m3u8
Caracol ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a06c/index.m3u8
Cartoon Network ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a059/index.m3u8
Cartoonito,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0gr/index.m3u8
Cine Latino ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0dn/index.m3u8
Cinecanal ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a053/index.m3u8
Cinemax ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a049/index.m3u8
Comedy Central ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04a/index.m3u8
DHE ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a06e/index.m3u8
DW Espanol ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0bx/index.m3u8
De Pelicula ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0bh/index.m3u8
DirecTV Sports ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0d0/index.m3u8
DirecTV+,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0vx/index.m3u8
Discovery H&H ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04j/index.m3u8
Discovery ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a06f/index.m3u8
Discovery HGTV ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0de/index.m3u8
Discovery Kids ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04i/index.m3u8
Discovery Science ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0dd/index.m3u8
Discovery Theater ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04k/index.m3u8
Discovery Turbo ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0bf/index.m3u8
Discovery World ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a052/index.m3u8
Disney ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a040/index.m3u8
Disney Junior,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0up/index.m3u8
Disney Junior ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0s8/index.m3u8
Distrito Comedia ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0on/index.m3u8
E! ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05r/index.m3u8
ESPN 2 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a046/index.m3u8
ESPN 3 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a043/index.m3u8
ESPN 4 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a055/index.m3u8
ESPN 5 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04o/index.m3u8
ESPN 6 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a044/index.m3u8
ESPN 7 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04p/index.m3u8
ESPN ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a03f/index.m3u8
ESPN Premium ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a06g/index.m3u8
EWTN,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0ps/index.m3u8
El Gourmet ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04d/index.m3u8
Eurochannel,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0tb/index.m3u8
Europa Europa,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0q1/index.m3u8
Exitosa I,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0cb/index.m3u8
FMH Family ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0uh/index.m3u8
FMH KIDS ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0dh/index.m3u8
FMH Movies ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0dm/index.m3u8
FX ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a04u/index.m3u8
Film&Arts,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0pl/index.m3u8
Folklore TV,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0wm/index.m3u8
Food Network ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05u/index.m3u8
France 24,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0y8/index.m3u8
FreeTV Terror ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0uu/index.m3u8
Fun Box ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0d4/index.m3u8
GOLPERU ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05y/index.m3u8
Global I,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0cs/index.m3u8
GolTV ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05s/index.m3u8
Golden Edge ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0br/index.m3u8
Golden ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05l/index.m3u8
Golden Premiere ENCODER ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0dj/index.m3u8
Golf Channel,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a0pu/index.m3u8
HBO 2 ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a05e/index.m3u8
HBO Family ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a06i/index.m3u8
HBO ,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#http://38.199.6.1:17001/play/a056/index.m3u8
