123 VAMOS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg02051-soulpublishing-amg02051c3-lg-ar-583.playouts.now.amagi.tv/playlist/amg02051-admecyltd-123gospanish-lgar/playlist.m3u8
IDEAS EN 5 MINUTOS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg02051-soulpublishing-amg02051c3-lg-ar-583.playouts.now.amagi.tv/playlist/amg02051-admecyltd-5minutecraftsspanish-lgar/playlist.m3u8
AMC,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amc-amcespanol-1-us.lg.wurl.tv/playlist.m3u8
ARTFLIX,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amogonetworx-artflix-3-es.lg.wurl.tv/playlist.m3u8
BAYWATCH,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00145-fremantlemedian-baywatch-lgus/playlist.m3u8
ANIME ONEGAI,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://stream.ads.ottera.tv/playlist.m3u8?network_id=10935
CANELA CINEMA,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00658-canelamediainc-canelacinema-lgar/playlist.m3u8
CANELA TV,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00658-canelamediainc-canelatv-lgar/playlist.m3u8
CANELA NOVELAS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00658-canelamediainc-canelatelenovelas-lgar/playlist.m3u8
CNN FAST,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg00803-cnnfast-amg00803c3-lg-es-5477.playouts.now.amagi.tv/playlist.m3u8
SONY COMPETENCIAS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://spt-competencias-1-us.lg.wurl.tv/playlist.m3u8
SONY NOVELAS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://spt-novelas-1-us.lg.wurl.tv/playlist.m3u8
SONY COMEDIAS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://spt-sonyonecomedias-mx.xiaomi.wurl.tv/playlist.m3u8
SONY SHARKTANK MEXICO,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://spt-sonyonesharktank-1-mx.xiaomi.wurl.tv/playlist.m3u8
COPS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://rightsboosterltd-cops-1-ar.lg.wurl.tv/playlist.m3u8
COPS MEXICO,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://rightsboosterltd-cops-1-mx.lg.wurl.tv/playlist.m3u8
FASHION TV,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://fashiontv-fashiontv-5-mx.lg.wurl.tv/playlist.m3u8
FREE TV ACCION,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg01024-olympusat-amg01024c2-lg-ar-1118.playouts.now.amagi.tv/playlist.m3u8
FREE TV ESTELAR,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg01024-olympusat-amg01024c9-lg-ar-1668.playouts.now.amagi.tv/playlist/amg01024-olympusatfast-tucine-lgar/playlist.m3u8
FREE TV TERROR,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01024-olympusat-horrorfycl-lgcl/playlist.m3u8
FREE TV BANDA,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://amg01024-olympusat-amg01024c6-lg-ar-1129.playouts.now.amagi.tv/playlist.m3u8
FREE TV FAMILIA,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01024-olympusat-juntosar-lgar/playlist.m3u8
FREE TV SABER MAS,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01024-olympusat-saberrmascl-lgcl/playlist.m3u8
FUEL TV,,chrome-extension://opmeopcambhfimffbomjgemehjkbbmji/pages/player.html#https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01074-fueltv-fueltvemeaes-lges/playlist.m3u8
